title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,amenities_old,desc_nlp,title_nlp,city,description_word_count,title_word_count,num_amenities,amenity_sports_recreation,amenity_water_supply,amenity_library,amenity_mosque,amenity_office,amenity_electricity,amenity_basement,amenity_fireplace,amenity_pool,amenity_restaurant,amenity_balcony,amenity_maintenance,amenity_security,amenity_parking,amenity_reception,amenity_air_conditioning,amenity_school,amenity_kitchen,amenity_pets,kw_offer,kw_plan,kw_tourism,kw_commercial,kw_complex,kw_furnished,kw_building,kw_city,kw_floor,kw_hall,kw_kitchen,kw_located,kw_negotiable,kw_payment,kw_residential,kw_sale,kw_tower,kw_village,rooms_total,is_large_property,city_LE,total_rooms,area_per_room,bed_bath_ratio,is_family_sized,is_studio_flag,has_view,is_furnished,is_renovated,unique_word_count,avg_word_len
Spacious 4 Bedroom Apartment in Vana Towers,4.0,2.0,2443,"Vana Towers, Erbil",https://homele.com/properties/spacious-4-bedroom-apartment-in-vana-towers-83262,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 227m, the price is $170,250. - Corner and Internal View Apartment - Building A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['parking', 'air_conditioning', 'security']",Apartment,170250,IRAQ,"['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil vana tower area 227m price 170 250 corner internal view apartment building consists 4 bedroom 1 kitchen 1 hall 2 bathroom,spacious 4 bedroom apartment vana tower,Erbil,40,7,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1,2,6.0,407.1666666666667,1.3333333333333333,1,0,1,0,0,23,5.04
Apartment in Downtown with 5 Bedrooms,5.0,3.0,3336,"Downtown, Baghdad",https://homele.com/properties/apartment-in-downtown-with-5-bedrooms-80600,"Apartment For Sale, located in Baghdad, Downtown, with an area of 310m, the price is IQD 930,000,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms","['parking', 'air_conditioning', 'balcony']",Apartment,130000,IRAQ,"['Balcony', 'Parking Spaces', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows', 'Satellite/Cable TV']",apartment sale located baghdad downtown area 310m price iqd 930 000 000 consists 5 bedroom 1 kitchen 1 hall 3 bathroom,apartment downtown 5 bedroom,Baghdad,31,6,42,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1,0,8.0,417.0,1.25,1,0,0,0,0,19,4.666666666666667
Spacious Family Home in Baghdad,4.0,3.0,2152,"Al Jawahery Residential City, Baghdad",https://homele.com/properties/spacious-family-home-in-baghdad-81671,"House For Sale, located in Baghdad, Al Jawahery Residential City, with an area of 200m, the price is IQD 200,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms - Sales Center : Baghdad - Al Mansour - Jordan Street - Near Said Halib intersection - Call Center : 7740 - WhatsApp : +9647874777177","['parking', 'security', 'balcony']",House,141044,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",house sale located baghdad al jawahery residential city area 200m price iqd 200 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 3 bathroom sale center baghdad al mansour jordan street near said halib intersection call center 7740 whatsapp 9647874777177,spacious family home baghdad,Baghdad,63,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1,0,7.0,307.42857142857144,1.0,1,0,0,0,0,36,5.116279069767442
Modern Apartment in Vana Towers,3.0,2.0,2281,"Vana Towers, Erbil",https://homele.com/properties/modern-apartment-in-vana-towers-83257,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 212m, the price is $156,880. - External View Apartment - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['parking', 'air_conditioning', 'security']",Apartment,156880,IRAQ,"['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil vana tower area 212m price 156 880 external view apartment building consists 3 bedroom 1 kitchen 1 hall 2 bathroom,modern apartment vana tower,Erbil,38,5,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1,2,5.0,456.2,1.0,1,0,1,0,0,22,5.0
1BR Apartment in Erbil English Tower,1.0,1.0,1033,"English Tower, Erbil",https://homele.com/properties/1br-apartment-in-erbil-english-tower-71739,"Apartment For Sale, located in Erbil, English Tower, with an area of 96m, the price is $102,720. - Building A14 Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 3","['parking', 'security', 'balcony']",Apartment,102720,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil english tower area 96m price 102 720 building a14 consists 1 bedroom 1 kitchen 1 hall 1 bathroom floor number 3,1br apartment erbil english tower,Erbil,38,6,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,2,2.0,516.5,0.5,0,1,0,0,0,22,4.64
Spacious House for Sale,4.0,2.0,2152,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/spacious-house-for-sale-75914,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m, the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['security', 'electricity', 'balcony']",House,126940,IRAQ,"['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",house sale located kirkuk louloua residential compound area 200m price iqd 180 000 000 type consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,spacious house sale,Kirkuk,40,4,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,24,4.666666666666667
Apartment in Alaska Tower,1.0,1.0,1184,"Alaska Towers, Erbil",https://homele.com/properties/apartment-in-alaska-tower-73182,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 110m, the price is $84,700. - Building A, 15th floor, Apt.1 Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 15","['parking', 'security', 'balcony']",Apartment,84700,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located erbil alaska tower area 110m price 84 700 building 15th floor apt 1 consists 1 bedroom 1 kitchen 1 hall 1 bathroom floor number 15,apartment alaska tower,Erbil,41,4,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,2,2.0,592.0,0.5,0,1,0,0,0,23,4.5
"Elegant 1BR apartment Rona Towers, Erbil",1.0,1.0,850,"Rona Towers, Erbil",https://homele.com/properties/elegant-1br-apartment-rona-towers-erbil-83244,"Apartment For Sale, located in Erbil, Rona Towers, with an area of 79m, the price is $53,500 (Negotiable). Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 27","['electricity', 'balcony']",Apartment,53500,IRAQ,"['Balcony', '24hr Electricity', 'Green Area', 'Market', 'Elevator', 'Cafeteria']",apartment sale located erbil rona tower area 79m price 53 500 negotiable consists 1 bedroom 1 kitchen 1 hall 1 bathroom floor number 27,elegant 1br apartment rona tower erbil,Erbil,36,6,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0,2,2.0,425.0,0.5,0,1,0,0,0,21,4.666666666666667
Modern 3 bedrooms with smart system,3.0,2.0,2002,"Unique Towers, Erbil",https://homele.com/properties/modern-3-bedrooms-with-smart-system-83243,"Apartment For Sale, located in Erbil, Unique Towers, with an area of 186m, the price is $154,710. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 23","['parking', 'security', 'balcony']",Apartment,154710,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",apartment sale located erbil unique tower area 186m price 154 710 consists 3 bedroom 1 kitchen 1 hall 2 bathroom floor number 23,modern 3 bedroom smart system,Erbil,35,6,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1,2,5.0,400.4,1.0,1,0,0,0,0,22,4.608695652173913
Spacious 4 Bedrooms House in Aram Village 2,4.0,4.0,2604,"Aram Village 2, Erbil",https://homele.com/properties/spacious-4-bedrooms-house-in-aram-village-2-81561,"House For Sale, located in Erbil, Aram Village 2, with an area of 242m, the price is $270,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms - Floor number: 2",[],House,270000,IRAQ,[],house sale located erbil aram village 2 area 242m price 270 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 4 bathroom floor number 2,spacious 4 bedroom house aram village 2,Erbil,40,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1,2,8.0,325.5,0.8,1,0,0,0,0,23,4.185185185185185
Apartment (on 16th floor),3.0,2.0,2002,"Infinity Towers, Sulaymaniyah",https://homele.com/properties/apartment-on-16th-floor-62294,"Apartment For Sale, located in Sulaymaniyah, Infinity Towers, with an area of 186m, the price is $153,000. - Type B Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 16","['security', 'balcony']",Apartment,153000,IRAQ,"['Balcony', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located sulaymaniyah infinity tower area 186m price 153 000 type b consists 3 bedroom 1 kitchen 1 hall 2 bathroom floor number 16,apartment 16th floor,Sulaymaniyah,38,4,23,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1,8,5.0,400.4,1.0,1,0,0,0,0,24,4.8
House (No. 44),4.0,3.0,2152,"Crystal City, Kirkuk",https://homele.com/properties/house-no-44-62668,"House For Sale, located in Kirkuk, Crystal City, with an area of 200m, the price is IQD 215,000,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2","['parking', 'security', 'balcony']",House,151622,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",house sale located kirkuk crystal city area 200m price iqd 215 000 000 consists 4 bedroom 2 kitchen 1 living room 1 hall 3 bathroom floor number 2,house 44,Kirkuk,40,3,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1,4,7.0,307.42857142857144,1.0,1,0,0,0,0,25,4.25
Spacious House with 4 Bedrooms,4.0,2.0,2152,"Bawabat Kirkuk, Kirkuk",https://homele.com/properties/spacious-house-with-4-bedrooms-58765,"House (Type A) For Sale, located in Kirkuk, Bawabat Kirkuk, with an area of 200m, the price is IQD 189,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['security', 'electricity', 'balcony']",House,133287,IRAQ,"['Balcony', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System', '24hr Electricity']",house type sale located kirkuk bawabat kirkuk area 200m price iqd 189 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,spacious house 4 bedroom,Kirkuk,38,5,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,22,4.346153846153846
House (A-99),4.0,2.0,2152,"Aram City 3, Kirkuk",https://homele.com/properties/house-a-99-62099,"House For Sale, located in Kirkuk, Aram City 3, with an area of 200m, the price is IQD 190,000,000. - Opposite House - A-99 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['parking', 'security', 'balcony']",House,133992,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",house sale located kirkuk aram city 3 area 200m price iqd 190 000 000 opposite house 99 consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,house 99,Kirkuk,42,2,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,25,4.137931034482759
Apartment (in Building A5),3.0,1.0,1194,"Bardasur Heights, Kalar",https://homele.com/properties/apartment-in-building-a5-60386,"Apartment For Sale, located in Kalar, Bardasur Height, with an area of 111m, the price is $61,000. - Normal & Sulaymanya view - Building A5 Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor Number: 2","['parking', 'security', 'balcony']",Apartment,61000,IRAQ,"['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",apartment sale located kalar bardasur height area 111m price 61 000 normal sulaymanya view building a5 payment plan payment 6 500 6 month 5 000 6 month 5 000 monthly installment 24 month 350 handover key 7 500 monthly installment 350 consists 3 bedroom 1 kitchen 1 living room 1 bathroom floor number 2,apartment building a5,Kalar,76,4,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0,3,4.0,298.5,1.5,1,0,1,0,0,40,4.611111111111111
House (200m²),5.0,3.0,2152,"Royal City, Kalar",https://homele.com/properties/house-200m2-58126,"House (Type E) For Sale, located in Kalar, Royal City, with an area of 200m, the price is $165,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms","['security', 'electricity', 'balcony']",House,165000,IRAQ,"['Balcony', 'Double Glazed Windows', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Internet']",house type e sale located kalar royal city area 200m price 165 000 consists 5 bedroom 1 kitchen 1 living room 1 hall 3 bathroom,house 200m,Kalar,37,2,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1,3,8.0,269.0,1.25,1,0,0,0,0,23,4.12
House (Gold Offer),2.0,1.0,1937,"Jaff City, Kalar",https://homele.com/properties/house-gold-offer-58494,"House (Gold Offer with %8 discount) For Sale, located in Kalar, Jaff City, with an area of 180m, the price is $62,600. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 1 Bathroom","['security', 'electricity', 'balcony']",House,62600,IRAQ,"['Balcony', 'Double Glazed Windows', 'Security Staff', 'Waste Disposal', '24hr Electricity', 'Internet']",house gold offer 8 discount sale located kalar jaff city area 180m price 62 600 consists 2 bedroom 1 kitchen 1 living room 1 hall 1 bathroom,house gold offer,Kalar,40,3,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0,3,3.0,645.6666666666666,1.0,0,0,0,0,0,24,4.222222222222222
House in Installment,2.0,1.0,1722,"Hiwa City, Kalar",https://homele.com/properties/house-in-installment-57098,"House For Sale, located in Kalar, Hiwa City, with an area of 160m, the price is $68,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom","['security', 'sports_recreation', 'electricity']",House,68000,IRAQ,"['CCTV Security', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Playground', 'Green Area']",house sale located kalar hiwa city area 160m price 68 000 consists 2 bedroom 1 kitchen 1 living room 1 bathroom,house installment,Kalar,32,3,48,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0,3,3.0,574.0,1.0,0,0,0,0,0,19,4.333333333333333
Corner House,2.0,2.0,2131,"Shari Shko, Kalar",https://homele.com/properties/corner-house-61524,"House (Golden Offer) For Sale, located in Kalar, Shari Shko, with an area of 198m, the price is $63,100. - Type A Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms","['parking', 'security', 'electricity']",House,63100,IRAQ,"['Parking Spaces', 'Double Glazed Windows', 'Security Staff', 'Sewerage System', '24hr Electricity', 'Internet']",house golden offer sale located kalar shari shko area 198m price 63 100 type consists 2 bedroom 1 kitchen 1 living room 2 bathroom,corner house,Kalar,37,2,38,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1,3,4.0,532.75,0.6666666666666666,0,0,0,0,0,22,4.458333333333333
Cozy 4-Bedroom House in Kirkuk,4.0,2.0,2152,"Soma City, Kirkuk",https://homele.com/properties/cozy-4-bedroom-house-in-kirkuk-73535,"House (Type D) For Sale, located in Kirkuk, Soma City, with an area of 200m, the price is IQD 235,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['air_conditioning', 'security', 'balcony']",House,165727,IRAQ,"['Balcony', 'Central Air-Conditioner', 'Satellite/Cable TV', 'CCTV Security', 'Security Staff', 'Waste Disposal']",house type sale located kirkuk soma city area 200m price iqd 235 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,cozy 4 bedroom house kirkuk,Kirkuk,38,5,43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1,4,6.0,358.6666666666667,1.3333333333333333,1,0,0,0,0,23,4.153846153846154
Spacious Apartment in Buruj Residential Complex,2.0,2.0,1754,"Buruj Residential Complex, Baghdad",https://homele.com/properties/spacious-apartment-in-buruj-residential-complex-69597,"Apartment For Sale, located in Baghdad, Buruj Residential Complex, with an area of 163m, the price is $275,256. - Building Riviera A Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['air_conditioning', 'security', 'balcony']",Apartment,275256,IRAQ,"['Balcony', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",apartment sale located baghdad buruj residential complex area 163m price 275 256 building riviera consists 2 bedroom 1 kitchen 1 hall 2 bathroom,spacious apartment buruj residential complex,Baghdad,36,6,43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0,0,4.0,438.5,0.6666666666666666,0,0,0,0,0,21,5.304347826086956
Elegant 3-Bedroom Apartment with Beautiful Views,3.0,3.0,1840,"Emperor Hills Complex, Baghdad",https://homele.com/properties/elegant-3-bedroom-apartment-with-beautiful-views-71369,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m, the price is IQD 299,250,000. - Building C4 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 6","['parking', 'security', 'balcony']",Apartment,211037,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",university teacher offer payment increased 5 information offer please contact sale center apartment sale located baghdad emperor hill complex area 171m price iqd 299 250 000 building c4 consists 3 bedroom 1 kitchen 1 hall 3 bathroom floor number 6,elegant 3 bedroom apartment beautiful view,Baghdad,62,6,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0,0,6.0,306.6666666666667,0.75,1,0,0,0,0,36,5.2
Spacious Apartment in Cavalli Tower,4.0,3.0,2529,"Cavalli Tower, Erbil",https://homele.com/properties/spacious-apartment-in-cavalli-tower-81829,"Apartment For Sale, located in Erbil, Cavalli Tower, with an area of 235m, the price is $246,750. - Waziran View Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 36","['parking', 'air_conditioning', 'security']",Apartment,246750,IRAQ,"['Parking Spaces', 'Central Air-Conditioner', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Waste Disposal']",apartment sale located erbil cavalli tower area 235m price 246 750 waziran view consists 4 bedroom 1 kitchen 1 hall 3 bathroom floor number 36,spacious apartment cavalli tower,Erbil,38,5,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1,2,7.0,361.2857142857143,1.0,1,0,1,0,0,24,4.72
Modern One-bedroom Apartment in Erbil,1.0,1.0,904,"Unique Towers, Erbil",https://homele.com/properties/modern-one-bedroom-apartment-in-erbil-83241,"Apartment For Sale, located in Erbil, Unique Towers, with an area of 84m, the price is $69,637. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: 18","['parking', 'security', 'balcony']",Apartment,69637,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",apartment sale located erbil unique tower area 84m price 69 637 consists 1 bedroom 1 kitchen 1 living room 1 bathroom floor number 18,modern one bedroom apartment erbil,Erbil,36,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,2,2.0,452.0,0.5,0,1,0,0,0,21,4.583333333333333
Modern House in Atlantic City,3.0,2.0,2152,"Atlantic City, Erbil",https://homele.com/properties/modern-house-in-atlantic-city-75120,"House For Sale, located in Erbil, Atlantic City, with an area of 200m, the price is $160,000. - Block K Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['parking', 'kitchen', 'security', 'sports_recreation']",House,160000,IRAQ,"['Parking Spaces', 'Satellite/Cable TV', 'Security Staff', 'Waste Disposal', 'Furnished Kitchen', 'Playground']",house sale located erbil atlantic city area 200m price 160 000 block k consists 3 bedroom 1 kitchen 1 living room 1 hall 2 bathroom,modern house atlantic city,Erbil,38,5,55,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1,2,5.0,430.4,1.0,1,0,0,0,0,23,4.28
Modern Apartment with 3 Bedrooms,3.0,2.0,1980,"Slemani Heights, Sulaymaniyah",https://homele.com/properties/modern-apartment-with-3-bedrooms-69629,"Apartment For Sale, located in Sulaymaniyah, Slemani Heights, with an area of 184m, the price is $140,000. - project view payment plan: - Down payment $35,000 - with the Structure $35,000 - Handover the key $35,000 - Remaining amount $35,000 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor Number: 15","['parking', 'security', 'balcony']",Apartment,140000,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'Storage Space', 'CCTV Security']",apartment sale located sulaymaniyah slemani height area 184m price 140 000 project view payment plan payment 35 000 structure 35 000 handover key 35 000 remaining amount 35 000 consists 3 bedroom 1 kitchen 1 hall 2 bathroom floor number 15,modern apartment 3 bedroom,Sulaymaniyah,58,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0,8,5.0,396.0,1.0,1,0,1,0,0,32,4.853658536585366
"Building G, 5th Floor",2.0,1.0,1280,"Qaiwan Mirador, Erbil",https://homele.com/properties/building-g-5th-floor-66594,"Apartment for sale in Erbil, Qaiwan Mirador - 2 bedrooms, living room, kitchen, 1 bathroom - With an area of 119sqm - Building G, 5th Floor - The price per meter is $800 - The total price is $95,200 The payment plan: - Down payment $17,136 (%18) - When the structure is complete $20,944 (%22) - With handover $23,800 (%25) - Remaining amount($33,320) will be paid in 60 Months, each month ($555)","['parking', 'security', 'balcony']",Apartment,95200,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",apartment sale erbil qaiwan mirador 2 bedroom living room kitchen 1 bathroom area 119sqm building g 5th floor price per meter 800 total price 95 200 payment plan payment 17 136 18 structure complete 20 944 22 handover 23 800 25 remaining amount 33 320 paid 60 month month 555,building g 5th floor,Erbil,72,4,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0,2,3.0,426.6666666666667,1.0,0,0,0,0,0,46,4.52
