title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country
Cozy Apartment in Qaiwan Heights,3,2,1463.89 sqft,"Qaiwan Heights, Sulaymaniyah",https://homele.com/properties/cozy-apartment-in-qaiwan-heights-79702,"Apartment For Sale, located in Sulaymaniyah, Qaiwan Heights, with an area of 136m², the price is $108,800. - Building B15 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: g","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Sewerage System', '24hr Electricity']",Apartment,"$108,800",Iraq
Modern 3-Bedroom Apartment in MRF Quattro Towers,3,2,2249.66 sqft,"MRF Quattro Towers, Erbil",https://homele.com/properties/modern-3-bedroom-apartment-in-mrf-quattro-towers-81019,"Apartment For Sale, located in Erbil, MRF Quattro Towers, with an area of 209m², the price is $145,000 (Negotiable). Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 20","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Green Area']",Apartment,"$145,000",Iraq
Luxurious villa in Sulaymaniyah,N/A,N/A,4596.19 sqft,"Qaiwan Tourism Village, Sulaymaniyah",https://homele.com/properties/luxurious-villa-in-sulaymaniyah-80665,"House For Sale, located in Sulaymaniyah, Qaiwan Tourism Village, with an area of 427m², the price is $384,300.","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",House,"$384,300",Iraq
Gas Station For Sale,N/A,N/A,30138.92 sqft,"Kalak, Erbil",https://homele.com/properties/gas-station-for-sale-78671,"Commercial Property For Sale, located in Erbil, Mosul Road, kalak khabat with an area of 2800m², the price is $850,000. - Annual rent (7000 dinars) per meter - Monthly income between $10,000 - $15,000 Consists of: - 4 pumps - 6 handfuls of gasoline - 1 Diesel pump - 4 tanks (42000 liters) buried - 1 (100) KV generator - 1 (250) KV transformer",[],Commercial Property,"$850,000",Iraq
Cozy Apartment in Rasan Towers,1,1,807.29 sqft,"Rasan Towers, Erbil",https://homele.com/properties/cozy-apartment-in-rasan-towers-81025,"Apartment For Sale, located in Erbil, Rasan Towers, with an area of 75m², the price is $41,500 (Negotiable). Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 8","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,"$41,500",Iraq
Spacious Apartment in Modern Project in Baghdad,4,3,2098.96 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/spacious-apartment-in-modern-project-in-baghdad-74807,"University Teachers Offers: * The Down Payment has been increased to 19,012,500 IQD (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 195m², the price is IQD 380,250,000. - Building B6 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 11","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$268,160",Iraq
Apartment (111m²),3,1,1194.79 sqft,"Bardasur Heights, Kalar",https://homele.com/properties/apartment-111m2-64229,"Apartment For Sale, located in Kalar, Bardasur Height, with an area of 111m², the price is $63,000. - Corner, Sulaymanya & Rizgary view - Building A7 Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom","['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$63,000",Iraq
Apartment (2+1),2,2,1506.95 sqft,"Infinity Towers, Sulaymaniyah",https://homele.com/properties/apartment-21-66022,"Apartment For Sale, located in Sulaymaniyah, Infinity Towers, with an area of 140m², the price is $120,000. - Building A Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 22","['Balcony', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$120,000",Iraq
Luxurious Apartment in Slemani Heights,3,2,2206.6 sqft,"Slemani Heights, Sulaymaniyah",https://homele.com/properties/luxurious-apartment-in-slemani-heights-73440,"Apartment For Sale, located in Sulaymaniyah, Slemani Heights, with an area of 205m², the price is $160,000. - Building D9, 16th floor, Apt.4 Payment Plan: - Down Payment $80,000 - Handover the key $80,000 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Sewerage System', '24hr Electricity']",Apartment,"$160,000",Iraq
2+1 Apartment for sale with special offer,2,2,1216.32 sqft,"Bakhtyary Twin Towers, Erbil",https://homele.com/properties/21-apartment-for-sale-with-special-offer-80741,"Furnished Apartment For Sale with special offer buy the apartment and get the apartment furnished as a gift, located in Erbil , Bakhtyary Twin Towers, with an area of 113m², the price is $105,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 24","['Parking Spaces', '24hr Electricity', 'Green Area', '24hr Water']",Apartment,"$105,000",Iraq
Furnished House Opposite Garden,2,2,2249.66 sqft,"Ashti City 2, Erbil",https://homele.com/properties/furnished-house-opposite-garden-74253,"Furnished House For Sale, located in Erbil, Ashti City 2, with an area of 209m², the price is $125,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 1","['Parking Spaces', 'Storage Space', 'Security Staff', '24hr Electricity', 'Green Area', 'Air Conditioners Installed']",House,"$125,000",Iraq
Modern House,3,2,1076.39 sqft,"99 Zanko, Erbil",https://homele.com/properties/modern-house-81012,"House For Sale, located in Erbil, 99 Zanko, with an area of 100m², the price is $96,000. Consists of: - 3 Bedrooms - 1 Kitchen - 2 Halls - 2 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces']",House,"$96,000",Iraq
VIP House,4,3,1614.59 sqft,"Hawlery Nwe, Erbil",https://homele.com/properties/vip-house-81011,"House For Sale, located in Erbil, Hawlery Nwe, with an area of 150m², the price is $137,500 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces']",House,"$137,500",Iraq
Spacious 5-Bedroom House in Andazyaran,5,7,3422.92 sqft,"Andazyaran, Erbil",https://homele.com/properties/spacious-5-bedroom-house-in-andazyaran-80065,"Furnished House For Sale, located in Erbil, Andazyaran, with an area of 318m², the price is $235,000 (Negotiable). Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 7 Bathrooms - Floor number: 2","['Balcony', '24hr Electricity', 'Green Area', 'Air Conditioners Installed', 'Basement', '24hr Water']",House,"$235,000",Iraq
Cozy apartment with 1 bedroom,1,1,914.93 sqft,"Shari Mamostayan, Erbil",https://homele.com/properties/cozy-apartment-with-1-bedroom-59560,"Apartment For Sale, located in Erbil, Shari Mamostayan, with an area of 85m², the price is $36,000 (Negotiable). Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 9","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",Apartment,"$36,000",Iraq
"Cozy apartment in Erbil, Lebanese Village",2,2,1291.67 sqft,"Lebanese Village, Erbil",https://homele.com/properties/cozy-apartment-in-erbil-lebanese-village-58375,"Furnished Apartment For Sale, located in Erbil, Lebanese Village, with an area of 120m², the price is $60,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 5","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Storage Space', 'Satellite/Cable TV', 'Security Staff']",Apartment,"$60,000",Iraq
Commercial Plot (330m²),N/A,N/A,3552.09 sqft,"Pzishkan street, Erbil",https://homele.com/properties/commercial-plot-330m2-38123,"Commercial Plot For Sale, located in Erbil, Pzishkan street, with an area of 330m², the price is $210,000 (Negotiable).",[],Commercial Plot,"$210,000",Iraq
New House,3,2,1076.39 sqft,"Badawa, Erbil",https://homele.com/properties/new-house-81010,"House For Sale, located in Erbil, Badawa, with an area of 100m², the price is $65,000 (Negotiable). Consists of: - 3 Bedrooms - 1 Kitchen - 2 Halls - 2 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces']",House,"$65,000",Iraq
VIP Apartment with a special offer,2,2,1216.32 sqft,"Bakhtyary Twin Towers, Erbil",https://homele.com/properties/vip-apartment-with-a-special-offer-80742,"Furnished Apartment For Sale with special offer buy the apartment and get the apartment furnished as a gift, located in Erbil, Bakhtyary Twin Towers, with an area of 113m², the price is $106,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 23","['Parking Spaces', '24hr Electricity', 'Green Area', '24hr Water']",Apartment,"$106,000",Iraq
Modern 3-Bedroom Apartment,3,2,2368.06 sqft,"Qaiwan Heights, Sulaymaniyah",https://homele.com/properties/modern-3-bedroom-apartment-76927,"Apartment For Sale, located in Sulaymaniyah, Qaiwan Heights, with an area of 220m², the price is $150,000. - Building A4 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 5","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Sewerage System', '24hr Electricity']",Apartment,"$150,000",Iraq
Modern one-bedroom apartment for Sale,1,1,1044.1 sqft,"Boulevard, Erbil",https://homele.com/properties/modern-one-bedroom-apartment-for-sale-80993,"Apartment For Sale, located in Erbil, Boulevard, with an area of 97m², the price is $102,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 12","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'CCTV Security', 'Security Staff', 'Gym']",Apartment,"$102,500",Iraq
Cozy Apartment with Stunning Views,1,1,1033.33 sqft,"Suli View, Sulaymaniyah",https://homele.com/properties/cozy-apartment-with-stunning-views-81001,"Apartment For Sale, located in Sulaymaniyah, Suli View, with an area of 96m², the price is $61,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 21","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,"$61,000",Iraq
6-Floor Commercial Building in Zanko Street,N/A,N/A,2152.78 sqft,"Zanko Street, Erbil",https://homele.com/properties/6-floor-commercial-building-in-zanko-street-80983,"Commercial Building For Sale, located in Erbil, Zanko Street, with an area of 200m², the price is $600,000 (Negotiable). - Floor number: 6","['Double Glazed Windows', '24hr Electricity', 'Automotive Service', 'Basement', '24hr Water']",Commercial Building,"$600,000",Iraq
Cozy Home with Multiple Rooms,4,3,1614.59 sqft,"Zhyan, Erbil",https://homele.com/properties/cozy-home-with-multiple-rooms-80998,"House For Sale, located in Erbil, Zhyan, with an area of 150m², the price is $102,500 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 1 Hall - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Duct Air Cooler']",House,"$102,500",Iraq
Cozy Apartment in Erbil,1,1,1184.03 sqft,"Alaska Towers, Erbil",https://homele.com/properties/cozy-apartment-in-erbil-75558,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 110m², the price is $84,700. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 7","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$84,700",Iraq
Modern House with 4 Bedrooms,4,4,5381.95 sqft,"Slava City 2, Erbil",https://homele.com/properties/modern-house-with-4-bedrooms-80981,"House For Sale, located in Erbil, Slava City 2, with an area of 500m², the price is $280,000 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 4 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Security Staff', '24hr Electricity', 'Green Area', '24hr Water']",House,"$280,000",Iraq
Modern House with 4 Bedrooms,4,2,2152.78 sqft,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/modern-house-with-4-bedrooms-72118,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m², the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",House,"$126,940",Iraq
Cozy Apartment with 2 Bedrooms,2,2,1722.22 sqft,"MRF Quattro Towers, Erbil",https://homele.com/properties/cozy-apartment-with-2-bedrooms-81177,"House For Sale, located in Erbil, MRF Quattro Towers, with an area of 160m², the price is $120,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 5","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Green Area']",House,"$120,000",Iraq
Plot for sale suitable for housing,N/A,N/A,3229.17 sqft,"Azza, Erbil",https://homele.com/properties/plot-for-sale-suitable-for-housing-80989,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m², the price is $29,500.",[],Residential Plot,"$29,500",Iraq
Quick Sale,Studio,1,678.13 sqft,"Empire Wings, Erbil",https://homele.com/properties/quick-sale-79616,"Apartment For Sale, located in Erbil, Empire Wings, with an area of 63m², the price is $70,000 (Negotiable). Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 23","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,"$70,000",Iraq
Apartment with 3 Bedrooms,3,3,1840.63 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/apartment-with-3-bedrooms-74596,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m², the price is IQD 299,250,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$211,037",Iraq
Apartment in Cash,1,2,1022.57 sqft,"Rami Towers, Erbil",https://homele.com/properties/apartment-in-cash-80986,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 95m², the price is $66,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 15","['Parking Spaces', '24hr Electricity', 'Green Area', '24hr Water', 'Kitchen Counter']",Apartment,"$66,000",Iraq
Contemporary living in a sought-after area,2,2,1829.86 sqft,"Rami Towers, Erbil",https://homele.com/properties/contemporary-living-in-a-sought-after-area-80984,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 170m², the price is $118,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 16",[],Apartment,"$118,000",Iraq
Modern 2 Bedroom Apartment in Cihan City,2,1,1399.31 sqft,"Cihan city, Erbil",https://homele.com/properties/modern-2-bedroom-apartment-in-cihan-city-80982,"Furnished Apartment For Sale, located in Erbil, Cihan city, with an area of 130m², the price is $90,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 5","['Balcony', 'Electricity Generator', '24hr Electricity', 'Green Area', 'Market', 'Elevator']",Apartment,"$90,000",Iraq
Spacious house for sale in Sulaymaniyah,N/A,N/A,6781.26 sqft,"Qaiwan Tourism Village, Sulaymaniyah",https://homele.com/properties/spacious-house-for-sale-in-sulaymaniyah-69977,"House For Sale, located in Sulaymaniyah, Qaiwan Tourism Village, with an area of 630m², the price is $567,000.","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",House,"$567,000",Iraq
Corner House,4,2,1076.39 sqft,"Havalan, Erbil",https://homele.com/properties/corner-house-80980,"House For Sale, located in Erbil, Havalan, with an area of 100m², the price is $92,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 2 Bathrooms - Floor number: 2",[],House,"$92,000",Iraq
Cozy Home in Erbil,2,1,1345.49 sqft,"Qarabw, Erbil",https://homele.com/properties/cozy-home-in-erbil-80978,"House For Sale, located in Erbil, Qarabw, with an area of 125m², the price is $50,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 1",['Garret Room'],House,"$50,000",Iraq
Spacious Industrial Land in Gopal Village,N/A,N/A,2556426.25 sqft,"Gopal Village, Erbil",https://homele.com/properties/spacious-industrial-land-in-gopal-village-80971,"Industrial Land For Sale, located in Erbil, Gopal Village, with an area of 237500m² (95 dons), the price is $1,900,000 (Negotiable).",['24hr Water'],Industrial Land,"$1,900,000",Iraq
One Floor House,3,2,2690.97 sqft,"Ashti City 1, Erbil",https://homele.com/properties/one-floor-house-80977,"House For Sale, located in Erbil, Ashti City 1, with an area of 250m², the price is $75,000 (Negotiable). Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 1","['Parking Spaces', 'Green Area']",House,"$75,000",Iraq
Twin House,3,2,1345.49 sqft,"Qarabw, Erbil",https://homele.com/properties/twin-house-80979,"House For Sale, located in Erbil, Qarabw, with an area of each one is 125m², the price of each one is $90,000 . Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms - Floor number: 2",[],House,"$90,000",Iraq
House in land price for sale,4,3,2152.78 sqft,"Havalan, Erbil",https://homele.com/properties/house-in-land-price-for-sale-80975,"House For Sale, located in Erbil, Havalan, with an area of 200m², the price is $160,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2",[],House,"$160,000",Iraq
Corner Apartment,3,1,1194.79 sqft,"Bardasur Heights, Kalar",https://homele.com/properties/corner-apartment-64081,"Apartment For Sale, located in Kalar, Bardasur, with an area of 111m², the price is $64,000. - Corner, Sulaymanya & Sirwan view - Building A7 Payment plan: - Down payment $6,500 - After 6 months $5,000 - After 6 months $5,000 - Monthly Installment (for 24 months) $350 - Handover the key $7,500 - Monthly Installment $350 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor Number: 8","['Balcony', 'Parking Spaces', 'Storage Space', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$64,000",Iraq
Spacious 1BR Apartment,1,1,1087.15 sqft,"Alaska Towers, Erbil",https://homele.com/properties/spacious-1br-apartment-75318,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 101m², the price is $77,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 5","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$77,500",Iraq
"Spacious Luxurious Home in Shorsh, Erbil",7,5,6458.34 sqft,"Shorsh, Erbil",https://homele.com/properties/spacious-luxurious-home-in-shorsh-erbil-80965,"House For Sale, located in Erbil, Shorsh, with an area of 600m², the price is $1,800,000 (Negotiable). Consists of: - 7 Bedrooms - 2 Kitchens - 2 Living Rooms - 2 Halls - 5 Bathrooms - Floor number: 2","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', '24hr Electricity', 'Green Area']",House,"$1,800,000",Iraq
Gulan mall view apartment,1,1,1065.63 sqft,"Cavalli Tower, Erbil",https://homele.com/properties/gulan-mall-view-apartment-80968,"Apartment For Sale, located in Erbil, Cavalli Tower, with an area of 99m², the price is $105,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 38","['Parking Spaces', '24hr Electricity', 'Green Area', '24hr Water', 'Kitchen Counter']",Apartment,"$105,000",Iraq
Spacious Two-Bedroom House,2,1,1776.04 sqft,"Zeelan City, Erbil",https://homele.com/properties/spacious-two-bedroom-house-80963,"House For Sale, located in Erbil, Zeelan City, with an area of 165m², the price is $117,500 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 1","['Parking Spaces', '24hr Electricity', 'Green Area', '24hr Water']",House,"$117,500",Iraq
House Opposite Garden,4,3,1937.5 sqft,"Hawlery Nwe, Erbil",https://homele.com/properties/house-opposite-garden-80961,"House For Sale, located in Erbil, Hawlery Nwe, with an area of 180m², the price is $155,000 (Negotiable). Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces']",House,"$155,000",Iraq
Two Floor House,4,4,1614.59 sqft,"Roshnbiri 1, Erbil",https://homele.com/properties/two-floor-house-80557,"House For Sale, located in Erbil, Roshnbiri 1, with an area of 150m², the price is $108,000. Consists of: - 4 Bedrooms - 2 Kitchens - 3 Living Rooms - 4 Bathrooms - Floor number: 3","['Balcony', 'Central Air-Conditioner', 'Furnished Kitchen', '24hr Electricity', 'Internet', 'Kitchen Counter']",House,"$108,000",Iraq
Spacious Family House in Erbil,4,3,1614.59 sqft,"Nusaran, Erbil",https://homele.com/properties/spacious-family-house-in-erbil-80953,"House For Sale, located in Erbil, Nusaran, with an area of 150m², the price is $132,500 (Negotiable). Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 3","['Balcony', 'Parking Spaces']",House,"$132,500",Iraq
Elegant 3-Bedroom Apartment for Sale,3,2,1883.68 sqft,"Empire Royal Apartment, Erbil",https://homele.com/properties/elegant-3-bedroom-apartment-for-sale-80950,"Apartment For Sale, located in Erbil, Empire Royal Apartment, with an area of 175m², the price is $142,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 7","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,"$142,000",Iraq
Cozy 2-Bedroom House in Erbil,2,1,2152.78 sqft,"Shari Mamostayan, Erbil",https://homele.com/properties/cozy-2-bedroom-house-in-erbil-80927,"House For Sale, located in Erbil, Shari Mamostayan, with an area of 200m², the price is $100,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 1 Bathroom - Floor number: 1","['Parking Spaces', '24hr Electricity', '24hr Water']",House,"$100,000",Iraq
Two Structure House For Sale,3,2,1345.49 sqft,"Qarabw, Erbil",https://homele.com/properties/two-structure-house-for-sale-80960,"Two Structure House For Sale, located in Erbil, Qarabw, area of each one is 125m², the price of each one is $55,000 (Negotiable). Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 2 Bathrooms - Floor number: 2",[],House,"$55,000",Iraq
Charming house in Erbil,3,3,2152.78 sqft,"Atlantic City, Erbil",https://homele.com/properties/charming-house-in-erbil-80959,"House For Sale, located in Erbil, Atlantic City, with an area of 200m², the price is $149,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['24hr Electricity', '24hr Water']",House,"$149,000",Iraq
Luxurious 3-Bedroom Apartment with Amenities,3,2,2098.96 sqft,"Boulevard, Erbil",https://homele.com/properties/luxurious-3-bedroom-apartment-with-amenities-80516,"Furnished Apartment For Sale, located in Erbil, Boulevard, with an area of 195m², the price is $360,000 (Negotiable). Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 12",[],Apartment,"$360,000",Iraq
Spacious Apartment in Erbil,2,2,1797.57 sqft,"Alaska Towers, Erbil",https://homele.com/properties/spacious-apartment-in-erbil-75369,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 167m², the price is $128,860. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 6","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$128,860",Iraq
Spacious Family Home in Kirkuk,4,2,2152.78 sqft,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/spacious-family-home-in-kirkuk-71947,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m², the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",House,"$126,940",Iraq
Furnished Apartment For Sale,2,2,1829.86 sqft,"Rami Towers, Erbil",https://homele.com/properties/furnished-apartment-for-sale-80952,"Furnished Apartment For Sale, located in Erbil, Rami Towers, with an area of 170m², the price is $132,500 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 6","['Balcony', '24hr Electricity', 'Air Conditioners Installed', 'Bakery', 'Barber', 'Automotive Service']",Apartment,"$132,500",Iraq
Spacious Residence with Private Garden,2,1,2152.78 sqft,"Andazyaran, Erbil",https://homele.com/properties/spacious-residence-with-private-garden-80949,"Furnished House For Sale, located in Erbil, Andazyaran, with an area of 200m²+ 200m Garden, the price is $135,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 1 Bathroom - Floor number: 1",[],House,"$135,000",Iraq
Luxurious 5BR Home with 300m² in Erbil,5,4,3229.17 sqft,"Beirut Palace, Erbil",https://homele.com/properties/luxurious-5br-home-with-300m2-in-erbil-54954,"House For Sale, located in Erbil, Beirut Palace, with an area of 300m², the price is $270,000 (Negotiable). Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 4 Bathrooms - Floor number: 3","['Balcony', 'Parking Spaces', 'Swimming Pool', 'Electricity Generator', 'Central Air-Conditioner', 'Central Heating']",House,"$270,000",Iraq
Luxury Apartment,3,3,1840.63 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/luxury-apartment-74862,"University Teachers Offers: * The Down Payment has been increased to 16,672,500 IQD (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m², the price is IQD 333,450,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$235,156",Iraq
Spacious Furnished House in Lana City,4,3,2152.78 sqft,"Lana City, Erbil",https://homele.com/properties/spacious-furnished-house-in-lana-city-80951,"Furnished House For Sale, located in Erbil, Lana City, with an area of 200m², the price is $130,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['Parking Spaces', 'CCTV Security', '24hr Electricity', 'Green Area', 'Market', 'School']",House,"$130,000",Iraq
Apartment (185m²),3,2,1991.32 sqft,"New Chwar Chra, Sulaymaniyah",https://homele.com/properties/apartment-185m2-52355,"Apartment For Sale, located in Sulaymaniyah, Chwar Chray Nwe, with an area of 184.6m², the price is $143,000. Payment Plan: - Down payment 15,000$ - Monthly Installment (Year 1 and 2) 650$ - Monthly Installment (Year 3 and 4) 750$ - Annual Installment (Year 1, 2 and 3) 6,500$ - Handover the key 15,000$ - Monthly installment after handover the key 1,000$ Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms",[],Apartment,"$143,000",Iraq
